"Location","Band Power","Total Power","Band/Total Power"
371912.864,4.57033838501469e-17,2.44739695022182e-16,0.186742832404056
371915.864,4.50906536145285e-17,2.47883662509845e-16,0.181902482632302
371918.864,4.44900271613655e-17,2.51377517229792e-16,0.176984909595936
371921.864,4.37797844131668e-17,2.54524682415877e-16,0.172006046712725
371924.864,4.30000764190368e-17,2.56783523637891e-16,0.167456524506901
371927.864,4.22392292687911e-17,2.5750856722352e-16,0.1640303844032
371930.864,4.14799031635915e-17,2.56005008058633e-16,0.162027702028749
371933.864,4.08972479681947e-17,2.53260552570763e-16,0.161482897960462
371936.864,4.08424752621898e-17,2.50343050230159e-16,0.163146031913569
371939.864,4.12374358884665e-17,2.47832474551904e-16,0.16639238244716
371942.864,4.21398556692102e-17,2.46845611491115e-16,0.170713408331049
371945.864,4.37495285053994e-17,2.48542591762656e-16,0.176024270911192
371948.864,4.74531779681505e-17,2.55304055493913e-16,0.185869268219603
371951.864,5.25452415622228e-17,2.66847293782251e-16,0.196911277672916
371954.864,5.30190655905144e-17,2.70820551654301e-16,0.195771942958718
371957.864,5.34348372635967e-17,2.73421662494243e-16,0.195430152739715
371960.864,5.48129525666961e-17,2.76712624360575e-16,0.198086201138663
371963.864,5.62126734032947e-17,2.77503228927375e-16,0.202565835433959
371966.864,5.93185127973239e-17,2.78403907164716e-16,0.213066380430604
371969.864,6.47204747280116e-17,2.82742217843331e-16,0.228902762458606
371972.864,6.95441190002065e-17,2.89243787314647e-16,0.240434270501909
371975.864,7.1039046976826e-17,2.90280757025752e-16,0.244725305613433
371978.864,7.09733916727166e-17,2.86417946482057e-16,0.247796594258324
371981.864,6.97086842646254e-17,2.79074762895513e-16,0.24978498070327
371984.864,6.76623119323813e-17,2.69176735504142e-16,0.251367607254974
371987.864,6.46812051832595e-17,2.56671277088585e-16,0.252000168920093
371990.864,6.13549221642921e-17,2.44283788379539e-16,0.25116248020915
371993.864,5.83950414820357e-17,2.32497602713295e-16,0.25116405847008
371996.864,5.50793041253054e-17,2.18999072855169e-16,0.251504736559917
371999.864,5.13563223445486e-17,2.05199055165034e-16,0.250275627747139
372002.864,4.90871424983018e-17,1.97965960789461e-16,0.247957488764983
372005.864,4.80924056399208e-17,1.93055125584277e-16,0.249112296264449
372008.864,4.90291725556314e-17,1.90518172531682e-16,0.257346435272353
372011.864,4.63213450220092e-17,1.82551951666199e-16,0.253743356886751
372014.864,4.2347775422142e-17,1.71517889757268e-16,0.246900049213948
